sample	clade	PC1	PC2
588630__vDNAlon096H12_C04	EA	-17.278883217610897	7.8350353256203285
588631__vDNAlon096H12_D04	EA	-17.501214700177307	8.005477013376426
588632__vDNAlon096H12_H04	EA	-17.70596473344885	8.425854297324108
588633__vDNAcad441D05_C06	EA	-17.561845863081953	7.957987811001064
588633__vDNAlon096H12_A05	EA	-17.3682576541278	7.926395318120438
588634__vDNAlon096H12_G03	EA	-17.752464787587925	7.751075900119009
588635__vDNAcad441D05_A05	EA	-17.454451189304653	8.127541320984518
588635__vDNAlon096H12_F03	EA	-17.467646270558568	8.367431786886717
588635__vDNAlon787A12_B08	EA	-17.397995754683045	8.240123413855052
588636__vDNAlon096H12_G04	EA	-17.183086185645543	7.62535383625151
588637__vDNAcad441D05_B05	EA	-17.55324954601994	7.816874345848555
588637__vDNAcad441D05_C05	EA	-16.306398024192845	7.57903315439536
588637__vDNAlon096H12_H03	EA	-17.41329085016624	7.64178423516537
588637__vDNAlon787A12_C08	EA	-17.53222990947771	7.878731784227314
588638__vDNAlon096H12_B04	EA	-17.738123324425917	8.233516985476102
588639__vDNAcad441D05_D05	EA	-17.534810923677757	7.62271997843349
588640__vDNAcad441D05_H05	EA	-17.444854059018887	8.061504618512457
588640__vDNAlon096H12_E04	EA	-17.464325751256943	7.925692345482086
588641__vDNAcad441D05_A06	EA	-17.71575481097785	7.376736267007295
588642__vDNAlon096H12_F09	EA	-16.33870601556671	7.587729390559243
588643__vDNAlon096H12_E09	EA	-16.250843588716734	6.874793747240887
588645__vDNAlon096H12_H09	EA	-16.009568427456333	7.6645328687425085
588678__vDNAlon096H12_G08	NA2	-6.182940656543495	-20.891350479870255
597232__vDNAlon096H12_A09	NA2	-6.222085561654032	-21.08119181424272
6.14.137__EXTvDNAbar0001A02_E11	Vv	-29.099764054247082	40.25275148041331
6.24.36__EXTvDNAbar0001A02_H01	Vv	-29.09393718501869	40.16922811576962
68__EXTvDNAels0022A01_H05	Mus	53.10601149485735	14.502548779586332
79__EXTvDNAels0022A01_B07	Mus	53.97249161511392	14.835288110170783
8.11.191__EXTvDNAbar0003C04_H11	Vv	-28.651867345290327	39.31853061690804
8.14.182__EXTvDNAbar0003C04_D12	Vv	-28.579350996091257	38.331560192974344
8.14.187__EXTvDNAbar0003C04_E03	Vv	-29.41562129906829	39.96036605587533
83__EXTvDNAels0022A01_F07	Mus	53.04219019023671	14.604787607213307
8.6.73__EXTvDNAbar0002B03_D07	Vv	-28.763100433596705	39.320630919936725
8.6.81__EXTvDNAbar0002B03_D11	Vv	-29.424648331147207	40.56631299316246
8__EXTvDNAels0022A01_C01	Mus	53.54913871753876	14.580961201149629
9.12.175__EXTvDNAbar0005H11_F12	Vv	-29.622396965310752	40.97528414670041
9.1.51__EXTvDNAbar0003C04_G06	Vv	-28.23382601674328	38.116771158850796
A1Y1_26RT__vDNAlon916B03_C09	NA1	-3.48043623897274	-30.469031193561104
A2Y1_C192L__vDNAlon917B04_H11	Vv	-23.87590662552376	34.00943429104191
A2Y1_C323L__vDNAlon918B05_A06	Vv	-27.802641394656618	39.645698989345455
A2Y1_C55L__vDNAlon917B04_C05	Vv	-26.33615015185017	38.490091631808504
AM131__Muscadine_Plate3_E08	Mus	50.17142555843902	13.79117320331016
AM187__Muscadine_Plate3_H01	Mus	50.68107358518983	13.917636680534175
AM189__Muscadine_Plate3_H03	Mus	50.88091909836338	14.042620288461016
