ValleyPearl__vDNAlon787A12_A01	Vv
d3s36__vDNAdia1360D09_D05	NA2
17_109_38__vDNAcad1065F05_F07	EA
PI_588460__BIvDNAgut0030C06_F06	NA2
PI_588353__BIvDNAgut0031C07_D04	NA1
AM92__Muscadine_Plate3_E03	Mus
483161__vDNAlon095H11_H02	NA2
S1509__vDNAhei1332F06_G06	NA2
8__EXTvDNAels0022A01_C01	Mus
160x271_822__vDNAlon505A09_E10	NA1
PI_588711__BIvDNAgut0034C10_H12	NA1
2006.0001A__BIvDNAara0065F05_H07	EA
588639__vDNAcad441D05_D05	EA
PI_594348__BIvDNAgut0035C11_G03	EA
E136__vDNAlon1139F07_B04	NA1
vin7__vDNAcad1516F07_B10	Vv
A2Y1_C192L__vDNAlon917B04_H11	Vv
DVIT0707_0000D__BIvDNAara1102A06_G05	Vv
483147_026__vDNAcad1069F09_B03	NA2
S2204__vDNAhei1334F08_C03	NA2
H2637__vDNAhei1326E12_A01	NA2
DVIT2080_0000B__BIvDNAara1101A05_F10	NA2
588638__vDNAlon096H12_B04	EA
C56_11__vDNAled564B02_E02	Vv
L0631__vDNAhei1313D11_G12	Vv
E043__vDNAlon1138F06_H05	NA1
CL15RT__vDNAlon913A12_G02	NA1
Y136-20-13__BIvDNAnae0002A02_H05	Vv
Flame_Seedless__Muscadine_Plate1_B11	Vv
H3323__vDNAhei1327F01_C11	NA2
PI_588631__BIvDNAgut0033C09_H10	EA
PI_588400__BIvDNAgut0031C07_D02	NA1
S1829__vDNAhei1333F07_H06	NA2
2010-214__vDNAwor1520F04_G04	Mus
E126__vDNAlon1139F07_D05	NA1
S5620__vDNAhei1339G01_H09	NA2
337__EXTvDNAels0025A04_F03	Mus
S3405__vDNAhei1336F10_D06	NA2
160x271_794__vDNAlon505A09_D06	NA1
2233.0007A__BIvDNAara0069A03_B11	NA2
S1606__vDNAhei1332F06_E09	NA2
17_109_43__vDNAcad1067F07_F02	EA
2237.0005A__BIvDNAara0067A01_G01	NA1
AM187__Muscadine_Plate3_H01	Mus
160x271_902__vDNAlon506A10_E08	NA1
S3919__vDNAhei1337F11_E04	NA1
17_109_01__vDNAcad1067F07_B09	EA
160x271_924__vDNAlon506A10_H11	NA1
2217.0007A__BIvDNAara0067A01_F08	NA2
17_109_24__vDNAcad1067F07_G11	EA
CL57RT__vDNAlon913A12_A08	NA1
588385__vDNAcad441D05_B06	EA
0608.0000C__BIvDNAara0050E02_H04	Vv
2220.0002A__BIvDNAara0067A01_E10	NA2
PI_597292__BIvDNAgut0035C11_D03	EA
H2411__vDNAhei1325E11_H03	NA1
588643__vDNAlon096H12_E09	EA
2006-075__vDNAwor1641A04_D10	Mus
588640__vDNAlon096H12_E04	EA
E196__vDNAlon1140F08_F01	NA1
ANA10_2__EXTvDNAWOR0048A02_B06	Mus
DVIT1652.0000C__BIvDNAara1092H08_E06	Vv
YCY5__EXTvDNAWOR0048A02_D11	Mus
V_riparia37__vDNAfen136D04_G04	NA1
160x271_829__vDNAlon505A09_D11	NA1
S1620__vDNAhei1332F06_G10	NA2
lon094A12__vDNAlon787A12_A11	NA1
160x271_851__vDNAlon506A10_B02	NA1
2010-109__vDNAwor1522F06_A03	Mus
VR_C166__EXTvDNAsvy1639B09_C10	EA
PI_588685__BIvDNAgut0039D03_F09	NA2
VR37__vDNAfen1153A07_H02	NA1
588382__vDNAlon096H12_C05	EA
PI_588367__BIvDNAgut0028C04_H07	NA1
588631__vDNAlon096H12_D04	EA
588460__vDNAlon096H12_D09	NA2
Palomino__Muscadine_Plate3_G11	Vv
E146__vDNAlon1139F07_A03	NA1
V_cinerea_B9__vDNArei092H08_H11	NA2
S3505__vDNAhei1336F10_C08	NA2
179__EXTvDNAels0023A02_G07	Mus
Y126-212__BIvDNAnae0004A04_C01	Vv
6.24.36__EXTvDNAbar0001A02_H01	Vv
DVIT2027__vDNAlon787A12_H02	EA
DVIT0533_0000I__BIvDNAara1075G03_E09	Vv
160x271_940__vDNAfen201A01_H05	NA1
S3212__vDNAhei1336F10_A03	NA2
8.14.182__EXTvDNAbar0003C04_D12	Vv
2010-095__vDNAwor1522F06_C01	Mus
160x271_900__vDNAlon506A10_C08	NA1
160x271_920__vDNAlon506A10_D11	NA1
PI_588374__BIvDNAgut0030C06_F12	NA1
j5371__EXTvDNAZYP0038A04_B04	EA
S0302__vDNAhei1330F04_E04	NA2
394__EXTvDNAels0025A04_H10	Mus
E211__vDNAlon1140F08_E03	NA1
E058__vDNAlon1138F06_D08	NA1
1400.0000C__BIvDNAara0072A06_D03	NA1
d11s50__vDNAdia1368E05_E07	NA1
1156.0002A__BIvDNAara0065F05_D08	EA
1156.0006A__BIvDNAara0065F05_H08	EA
j5371__EXTvDNAZYP0037A03_F03	EA
d15s69__vDNAdia1372E09_F09	NA1
1159.0004A__BIvDNAara0065F05_F07	EA
1159.0006A__BIvDNAara0065F05_G07	EA
48__EXTvDNAels0022A01_D03	Mus
161__EXTvDNAels0023A02_E05	Mus
252__EXTvDNAels0024A03_B05	Mus
261__EXTvDNAels0024A03_B06	Mus
246__EXTvDNAels0024A03_D04	Mus
287__EXTvDNAels0024A03_D09	Mus
297__EXTvDNAels0024A03_F10	Mus
282__EXTvDNAels0024A03_G08	Mus
d17s12__vDNAdia1374E11_D02	Mus
d17s8__vDNAdia1374E11_H01	Mus
1740.0000D__BIvDNAara0072A06_B08	Mus
1762.0000D__BIvDNAara0072A06_C10	Mus
2183.0000B__BIvDNAara0073A07_A01	Mus
F2_3__EXTvDNAbab0040A01_C02	Mus
F2_11__EXTvDNAbab0040A01_C03	Mus
F2_85__EXTvDNAbab0040A01_E12	Mus
PAF2_1__EXTvDNAbab0041A02_A05	Mus
PAF2_50__EXTvDNAbab0041A02_B11	Mus
PAF2_58__EXTvDNAbab0041A02_B12	Mus
F2_95__EXTvDNAbab0041A02_D02	Mus
F2_112__EXTvDNAbab0041A02_E04	Mus
PAF2_37__EXTvDNAbab0041A02_E09	Mus
Pine_1__EXTvDNAbab0041A02_G04	Mus
F2_91__EXTvDNAbab0041A02_H01	Mus
Tarheel_03__EXTvDNAWOR0029A03_A11	Mus
Magoon_18__EXTvDNAWOR0029A03_D03	Mus
Tarheel_14__EXTvDNAWOR0029A03_D12	Mus
Magoon_52__EXTvDNAWOR0029A03_G07	Mus
Tarheel_18__EXTvDNAWOR0029A03_G12	Mus
Tarheel_02__EXTvDNAWOR0029A03_H10	Mus
Tarheel_33__EXTvDNAWOR0030A04_A03	Mus
Tarheel_49__EXTvDNAWOR0030A04_A05	Mus
Tarheel_34__EXTvDNAWOR0030A04_B03	Mus
Tarheel_35__EXTvDNAWOR0030A04_C03	Mus
Tarheel_70__EXTvDNAWOR0030A04_E07	Mus
Tarheel_90__EXTvDNAWOR0030A04_E09	Mus
Tarheel_63__EXTvDNAWOR0030A04_G06	Mus
17_2_8__EXTvDNAWOR0031A05_A03	Mus
17_2_80__EXTvDNAWOR0031A05_B08	Mus
17_2_53__EXTvDNAWOR0031A05_D06	Mus
17_2_104__EXTvDNAWOR0031A05_D10	Mus
17_2_12__EXTvDNAWOR0031A05_E03	Mus
17_2_86__EXTvDNAWOR0031A05_F08	Mus
17_2_25__EXTvDNAWOR0031A05_G04	Mus
17_2_167__EXTvDNAWOR0033A07_B05	Mus
Parent_SouthernHome__EXTvDNAWOR0033A07_D01	Mus
2735.0009A__BIvDNAara0073A07_F03	Mus
SC87__vDNAdia1622B02_A12	EA
SC81__vDNAdia1622B02_C11	EA
SC89__vDNAdia1622B02_C12	EA
SC82__vDNAdia1622B02_D11	EA
SC83__vDNAdia1622B02_E11	EA
SC84__vDNAdia1622B02_F11	EA
SC85__vDNAdia1622B02_G11	EA
SC86__vDNAdia1622B02_H11	EA
PI_588465__BIvDNAgut0034C10_E02	EA
588465__vDNAlon095H11_B07	EA
2026.0000B__BIvDNAara0073A07_A05	EA
2027.0000B__BIvDNAara0073A07_B05	EA
2028.0000B__BIvDNAara0073A07_C05	EA
2031.0000D__BIvDNAara0073A07_E05	EA
2032.0000C__BIvDNAara0073A07_F05	EA
2033.0000C__BIvDNAara0073A07_G05	EA
d14s4__vDNAdia1371E08_D01	EA
d18s47__vDNAdia1375E12_G06	EA
1268.0000C__BIvDNAara0071A05_E07	NA1
d11s35__vDNAdia1368E05_C05	NA1
Mission__BIvDNAara0040D04_G04	Vv
0679.0000C__BIvDNAara0041D05_C07	Vv
0799.0000C__BIvDNAara0042D06_B05	Vv
0766.0000C__BIvDNAara0042D06_H01	Vv
0900.0000C__BIvDNAara0043D07_E01	Vv
1012.0000C__BIvDNAara0044D08_A04	Vv
1021.0000C__BIvDNAara0044D08_A05	Vv
1033.0000C__BIvDNAara0044D08_C06	Vv
1006.0000C__BIvDNAara0044D08_D03	Vv
0671.0000C__BIvDNAara0045D09_C03	Vv
0737.0000C__BIvDNAara0045D09_H04	Vv
3153.0000A__BIvDNAara0046D10_B08	Vv
0367.0000C__BIvDNAara0050E02_E11	Vv
1130.0000A__BIvDNAara0050E02_F03	Vv
1802.0000D__BIvDNAara0051E03_C09	Vv
0353.0000C__BIvDNAara0051E03_E06	Vv
2512.0000B__BIvDNAara0052E04_E01	Vv
2750.0000A__BIvDNAara0052E04_H10	Vv
2920.0000A__BIvDNAara0053E05_D04	Vv
1121.0000A__BIvDNAara0053E05_D10	Vv
0699.0000E__BIvDNAara0053E05_F10	Vv
2900.0000B__BIvDNAara0053E05_H01	Vv
Mission__BIvDNAara0054E06_H06	Vv
Mission__BIvDNAara0059E11_H11	Vv
DVIT0579_0000C__BIvDNAara1074G02_F03	Vv
DVIT0464_0000C__BIvDNAara1075G03_C07	Vv
Plate3_A4_765__EXTvDNAmej0015A06_A04	Vv
Plate3_A12_1131__EXTvDNAmej0015A06_A12	Vv
Plate4_E4_1479__EXTvDNAmej0016A07_E04	Vv
Plate5_A5_452__EXTvDNAmej0017A08_A05	Vv
Plate5_F12_1672__EXTvDNAmej0017A08_F12	Vv
Plate6_G8_966__EXTvDNAmej0018A09_G08	Vv
Plate7_E10_18__EXTvDNAmej0019A10_E10	Vv
Plate7_F8_1936__EXTvDNAmej0019A10_F08	Vv
Plate7_G12_730__EXTvDNAmej0019A10_G12	Vv
Plate8_B3_906__EXTvDNAmej0020A11_B03	Vv
Plate8_C3_118__EXTvDNAmej0020A11_C03	Vv
Plate8_C10_999__EXTvDNAmej0020A11_C10	Vv
Plate8_E3_1411__EXTvDNAmej0020A11_E03	Vv
Plate8_G2_1434__EXTvDNAmej0020A11_G02	Vv
Plate8_G6_1695__EXTvDNAmej0020A11_G06	Vv
Plate9_H12_1309__EXTvDNAmej0021A12_H12	Vv
2098.0000E__BIvDNAara0069A03_B05	NA2
1844.0000A__BIvDNAara0069A03_B09	NA2
2365.0000C__BIvDNAara0068A02_D05	NA2
1820.0000C__BIvDNAara0070A04_C05	NA2
1648.0000C__BIvDNAara0070A04_D12	NA2
d3s22__vDNAdia1360D09_F03	NA2
2371.0000B__BIvDNAara0068A02_C03	NA2
1601.0000C__BIvDNAara0071A05_B03	NA2
1639.0000C__BIvDNAara0071A05_D03	NA2
0087.0000C__BIvDNAara0070A04_E02	NA2
0042.0000B__BIvDNAara0070A04_F01	NA2
0102.0000C__BIvDNAara0070A04_F02	NA2
1391.0000C__BIvDNAara0070A04_F03	NA2
PI_588371__BIvDNAgut0031C07_G05	NA2
